date,sku_id,source,mpn_matched,matches,qty_available,lead_time_days,unit_price_usd
2026-07-07,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F,4,34847,140,239.74
2026-07-07,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1897,84,89.32
2026-07-07,ic_micron_d5_2g8,mouser,MT60B2G8RZ-72B:H,3,1299,0,248.33
2026-07-07,ic_micron_d5_1g16,mouser,MT60B1G16HD-72B:H TR,6,1392,0,242.19
2026-07-07,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-07,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-08,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F,4,34847,140,239.74
2026-07-08,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1897,84,89.32
2026-07-08,ic_micron_d5_2g8,mouser,MT60B2G8RZ-72B:H,3,1299,0,248.33
2026-07-08,ic_micron_d5_1g16,mouser,MT60B1G16HD-72B:H TR,6,1392,0,242.19
2026-07-08,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-08,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-09,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F TR,4,34747,140,239.74
2026-07-09,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1777,84,89.32
2026-07-09,ic_micron_d5_2g8,mouser,MT60B2G8RZ-72B:H TR,3,1297,0,248.33
2026-07-09,ic_micron_d5_1g16,mouser,MT60B1G16HD-72B:H,6,1388,0,242.19
2026-07-09,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-09,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-10,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F TR,4,34720,140,239.74
2026-07-10,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1739,84,89.32
2026-07-10,ic_micron_d5_2g8,mouser,MT60B2G8RZ-72B:H,3,1297,0,248.33
2026-07-10,ic_micron_d5_1g16,mouser,MT60B1G16HD-72B:H,6,1388,0,242.19
2026-07-10,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-10,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-11,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F,4,34684,140,239.74
2026-07-11,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1739,84,89.32
2026-07-11,ic_micron_d5_2g8,mouser,MT60B2G8RZ-72B:H TR,3,1297,0,248.33
2026-07-11,ic_micron_d5_1g16,mouser,MT60B1G16HD-72B:H,6,1468,0,242.19
2026-07-11,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-11,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-12,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1739,84,92.84
2026-07-12,ic_micron_d5_2g8,mouser,MT60B2G8RZ-64B:D,1,1297,365,248.33
2026-07-12,ic_micron_d5_1g16,mouser,MT60B1G16HD-64B IT:D,3,1468,0,242.19
2026-07-12,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-12,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-13,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F,4,34684,140,239.74
2026-07-13,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1739,84,92.84
2026-07-13,ic_micron_d5_2g8,mouser,MT60B2G8RZ-64B:D,1,1297,365,248.33
2026-07-13,ic_micron_d5_1g16,mouser,MT60B1G16HD-64B IT:D,3,1468,0,242.19
2026-07-13,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-13,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-14,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F,4,34344,140,239.74
2026-07-14,ic_micron_d4_1g16,digikey,MT40A1G16TD-062E:F,10,2000,21,13.0125
2026-07-14,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1594,84,92.84
2026-07-14,ic_micron_d4_512m16,digikey,MT40A512M16TD-062E:R TR,10,2152,7,5.40552
2026-07-14,ic_micron_d5_2g8,mouser,MT60B2G8RZ-64B:D,1,1297,365,248.33
2026-07-14,ic_micron_d5_2g8,digikey,MT60B2G8RZ-56B IT:D,10,0,14,11.9835
2026-07-14,ic_micron_d5_1g16,mouser,MT60B1G16HD-64B IT:D,3,1466,0,242.19
2026-07-14,ic_micron_d5_1g16,digikey,MT60B1G16HD-56B IT:D,10,0,14,11.9835
2026-07-14,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-14,mod_micron_d4_8g,digikey,MTA8ATF1G64AZ-3G2R1,10,0,35,478.247
2026-07-14,mod_micron_d4_16g,digikey,MTA16ATF2G64AZ-2G6J1,10,0,35,
2026-07-14,mod_micron_d5_rdimm,digikey,MTC20F2085S1RC48BA1,1,0,28,282.0499
2026-07-14,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-14,mod_kingston_d4_ecc,digikey,KSM32ED8/32HC,3,0,28,248.3826
2026-07-15,ic_micron_d4_1g16,mouser,MT40A1G16TB-062E IT:F,4,34084,140,239.74
2026-07-15,ic_micron_d4_1g16,digikey,MT40A1G16TD-062E:F,10,2000,21,13.0125
2026-07-15,ic_micron_d4_512m16,mouser,MT40A512M16TD-062E:R,4,1594,84,92.84
2026-07-15,ic_micron_d4_512m16,digikey,MT40A512M16TD-062E:R TR,10,2152,7,5.40552
2026-07-15,ic_micron_d5_2g8,mouser,MT60B2G8RZ-64B:D,1,1297,365,248.33
2026-07-15,ic_micron_d5_2g8,digikey,MT60B2G8RZ-56B IT:D,10,0,14,11.9835
2026-07-15,ic_micron_d5_1g16,mouser,MT60B1G16HD-64B IT:D,3,1464,0,242.19
2026-07-15,ic_micron_d5_1g16,digikey,MT60B1G16HD-56B IT:D,10,0,14,11.9835
2026-07-15,mod_micron_d4_8g,mouser,MTA8ATF1G64AZ-3G2E1,1,130,365,104.47
2026-07-15,mod_micron_d4_8g,digikey,MTA8ATF1G64AZ-3G2R1,10,0,35,478.247
2026-07-15,mod_micron_d4_16g,digikey,MTA16ATF2G64AZ-2G6J1,10,0,35,
2026-07-15,mod_micron_d5_rdimm,digikey,MTC20F2085S1RC48BA1,1,0,28,282.0499
2026-07-15,mod_kingston_d4_ecc,mouser,KSM32ED8/32HD,1,0,42,
2026-07-15,mod_kingston_d4_ecc,digikey,KSM32ED8/32HC,3,0,28,248.3826
